Designator,Mid X,Mid Y,Rotation,Layer
2,165.032,-55.659475,0.0,top
C1,138.42,-56.66,180.0,top
LED1,142.2397,-52.31,51.0,top
R1,138.4666,-54.97,180.0,top
U1,138.3901,-58.7699,180.0,top
