Designator,Footprint,Quantity,Value,LCSC Part #
2,25X48MM_NFC_ANTENNA,1,25X48MM_NFC_ANTENNA,
C1,C0603,1,220nF,
LED1,LED0805-R-RD,1,17-21SUYC/TR8,
R1,R0603,1,47,
U1,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,1,NT3H2111W0FHKH,
